Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom       graviton
    2.14968e-07    5.79940e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.47554e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.14026e-18
    2.19120e-07    6.13329e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.56873e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.35665e-18
    2.23353e-07    6.48640e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.66543e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.59492e-18
    2.27668e-07    6.85984e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.76577e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.85727e-18
    2.32066e-07    7.25479e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.86989e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.14615e-18
    2.36549e-07    7.67247e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.97793e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.46424e-18
    2.41118e-07    8.11419e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.09003e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.81449e-18
    2.45776e-07    8.58135e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.20635e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.20015e-18
    2.50523e-07    9.07541e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.32705e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.62480e-18
    2.55363e-07    9.59791e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.45230e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.09238e-18
    2.60296e-07    1.01505e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.58226e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.60724e-18
    2.65324e-07    1.07349e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.71711e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.17415e-18
    2.70449e-07    1.13529e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.85704e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.79838e-18
    2.75673e-07    1.20065e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.00224e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.48571e-18
    2.80999e-07    1.26978e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.15290e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.24255e-18
    2.86427e-07    1.34289e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.30924e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.07590e-18
