Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.28300e-03    9.38854e+24    2.49298e+25    1.33845e+25    1.59202e+24    1.61907e+15    0.00000e+00
    1.35000e-03    8.99777e+24    2.25271e+25    1.20304e+25    1.73121e+24    1.78624e+15    0.00000e+00
    1.42000e-03    8.47416e+24    2.04404e+25    1.08593e+25    1.89636e+24    1.96953e+15    0.00000e+00
    1.49400e-03    8.09371e+24    1.84125e+25    9.95482e+24    2.03118e+24    2.17259e+15    0.00000e+00
    1.57200e-03    7.70477e+24    1.66488e+25    9.00921e+24    2.21624e+24    2.39682e+15    0.00000e+00
    1.65400e-03    7.29297e+24    1.49387e+25    8.24373e+24    2.40809e+24    2.64432e+15    0.00000e+00
    1.74000e-03    7.04916e+24    1.35399e+25    7.57715e+24    2.60706e+24    2.91630e+15    0.00000e+00
    1.83000e-03    6.68105e+24    1.21259e+25    7.01891e+24    2.81896e+24    3.21444e+15    0.00000e+00
    1.92600e-03    6.40399e+24    1.09906e+25    6.57804e+24    3.03251e+24    3.54830e+15    0.00000e+00
    2.02600e-03    6.17188e+24    9.96878e+24    6.24670e+24    3.27426e+24    3.91269e+15    0.00000e+00
    2.13100e-03    5.86823e+24    9.06616e+24    5.92551e+24    3.52497e+24    4.31359e+15    0.00000e+00
    2.24200e-03    5.65210e+24    8.33283e+24    5.70352e+24    3.79921e+24    4.75834e+15    0.00000e+00
    2.35900e-03    5.37755e+24    7.58896e+24    5.53888e+24    4.08064e+24    5.24948e+15    0.00000e+00
    2.48200e-03    5.14166e+24    7.03230e+24    5.42768e+24    4.36596e+24    5.79077e+15    0.00000e+00
    2.61100e-03    4.93307e+24    6.50018e+24    5.33880e+24    4.68100e+24    6.38645e+15    0.00000e+00
    2.74700e-03    4.71752e+24    6.12168e+24    5.31251e+24    5.00305e+24    7.04430e+15    0.00000e+00
    2.89000e-03    4.54880e+24    5.78492e+24    5.33806e+24    5.33321e+24    7.76960e+15    0.00000e+00
    3.04100e-03    4.39531e+24    5.55786e+24    5.38167e+24    5.65390e+24    8.57308e+15    0.00000e+00
    3.19900e-03    4.23459e+24    5.38843e+24    5.47328e+24    6.02675e+24    9.45382e+15    0.00000e+00
    3.36600e-03    4.12535e+24    5.24999e+24    5.58378e+24    6.40336e+24    1.04302e+16    0.00000e+00
    3.54100e-03    3.97657e+24    5.16879e+24    5.70222e+24    6.79201e+24    1.15032e+16    0.00000e+00
    3.72500e-03    3.83860e+24    5.12368e+24    5.88699e+24    7.21332e+24    1.26850e+16    0.00000e+00
    3.91900e-03    3.75119e+24    5.13830e+24    6.06045e+24    7.61128e+24    1.39922e+16    0.00000e+00
    4.12300e-03    3.64430e+24    5.18708e+24    6.26399e+24    8.05242e+24    1.54334e+16    0.00000e+00
    4.33800e-03    3.53000e+24    5.25001e+24    6.46454e+24    8.47370e+24    1.70245e+16    0.00000e+00
    4.56400e-03    3.43435e+24    5.34031e+24    6.72683e+24    8.89254e+24    1.87798e+16    0.00000e+00
    4.80100e-03    3.37173e+24    5.43316e+24    6.90446e+24    9.34780e+24    2.07091e+16    0.00000e+00
    5.05100e-03    3.31922e+24    5.58537e+24    7.15874e+24    9.79285e+24    2.28408e+16    0.00000e+00
    5.31400e-03    3.29337e+24    5.72999e+24    7.38284e+24    1.02211e+25    2.51949e+16    0.00000e+00
    5.59100e-03    3.24097e+24    5.91764e+24    7.61550e+24    1.06981e+25    2.77931e+16    0.00000e+00
    5.88200e-03    3.22306e+24    6.05677e+24    7.86521e+24    1.11335e+25    3.06524e+16    0.00000e+00
    6.18800e-03    3.19393e+24    6.26402e+24    8.10306e+24    1.16307e+25    3.38093e+16    0.00000e+00
    6.51100e-03    3.19930e+24    6.44667e+24    8.34852e+24    1.20867e+25    3.73003e+16    0.00000e+00
    6.85000e-03    3.18228e+24    6.62160e+24    8.59184e+24    1.25616e+25    4.11397e+16    0.00000e+00
    7.20600e-03    3.19769e+24    6.82843e+24    8.80620e+24    1.30510e+25    4.53720e+16    0.00000e+00
    7.58200e-03    3.21820e+24    7.02016e+24    9.01043e+24    1.34928e+25    2.79676e+19    0.00000e+00
    7.97600e-03    3.23414e+24    7.21240e+24    9.23664e+24    1.39355e+25    2.69612e+19    0.00000e+00
    8.39200e-03    3.26454e+24    7.40217e+24    9.45889e+24    1.43744e+25    1.23349e+18    0.00000e+00
    8.82900e-03    3.32673e+24    7.61173e+24    9.64532e+24    1.48004e+25    2.23325e+18    0.00000e+00
    9.28800e-03    3.36109e+24    7.79919e+24    9.83530e+24    1.52227e+25    3.02167e+18    0.00000e+00
    9.77200e-03    3.42397e+24    7.97917e+24    1.00628e+25    1.56674e+25    2.85676e+18    0.00000e+00
    1.02800e-02    3.48493e+24    8.16117e+24    1.02118e+25    1.60955e+25    3.65047e+18    0.00000e+00
    1.08200e-02    3.55212e+24    8.32601e+24    1.03739e+25    1.64819e+25    5.44747e+18    0.00000e+00
    1.13800e-02    3.63549e+24    8.48444e+24    1.05179e+25    1.68320e+25    6.09243e+18    0.00000e+00
    1.19700e-02    3.70690e+24    8.63491e+24    1.06621e+25    1.71913e+25    1.00504e+19    0.00000e+00
    1.26000e-02    3.80406e+24    8.77554e+24    1.07944e+25    1.75409e+25    1.19877e+19    0.00000e+00
    1.32500e-02    3.90362e+24    8.92087e+24    1.09190e+25    1.77987e+25    1.04458e+19    0.00000e+00
    1.39400e-02    4.00359e+24    9.06189e+24    1.10068e+25    1.80990e+25    1.38374e+19    0.00000e+00
    1.46700e-02    4.10196e+24    9.15624e+24    1.10868e+25    1.83629e+25    1.97480e+19    0.00000e+00
    1.54300e-02    4.22149e+24    9.28329e+24    1.11470e+25    1.86270e+25    2.33262e+19    0.00000e+00
    1.62300e-02    4.33380e+24    9.35984e+24    1.12073e+25    1.88484e+25    3.09912e+19    0.00000e+00
    1.70800e-02    4.44044e+24    9.44870e+24    1.12789e+25    1.90317e+25    3.78359e+19    0.00000e+00
    1.79700e-02    4.56157e+24    9.51583e+24    1.12894e+25    1.92030e+25    4.64512e+19    0.00000e+00
    1.89000e-02    4.68826e+24    9.58081e+24    1.12959e+25    1.93370e+25    6.29239e+19    0.00000e+00
    1.98900e-02    4.80522e+24    9.62344e+24    1.12986e+25    1.94350e+25    7.06675e+19    0.00000e+00
    2.09200e-02    4.93944e+24    9.65720e+24    1.12777e+25    1.95234e+25    9.25163e+19    0.00000e+00
    2.20100e-02    5.06918e+24    9.67804e+24    1.12493e+25    1.95910e+25    1.06347e+20    0.00000e+00
    2.31600e-02    5.19401e+24    9.68017e+24    1.11858e+25    1.96202e+25    1.22680e+20    0.00000e+00
    2.43700e-02    5.33782e+24    9.68827e+24    1.11445e+25    1.96191e+25    1.50995e+20    0.00000e+00
    2.56300e-02    5.46246e+24    9.65294e+24    1.10476e+25    1.95920e+25    1.81626e+20    0.00000e+00
    2.69700e-02    5.59988e+24    9.62165e+24    1.09617e+25    1.94985e+25    2.28820e+20    0.00000e+00
    2.83700e-02    5.72459e+24    9.56756e+24    1.08488e+25    1.94143e+25    2.40523e+20    0.00000e+00
    2.98500e-02    5.85182e+24    9.51745e+24    1.07360e+25    1.92886e+25    3.50403e+20    0.00000e+00
    3.14000e-02    5.97625e+24    9.43325e+24    1.06144e+25    1.91368e+25    4.02443e+20    0.00000e+00
    3.30400e-02    6.10357e+24    9.35380e+24    1.04560e+25    1.89629e+25    3.82265e+20    0.00000e+00
    3.47600e-02    6.19773e+24    9.25390e+24    1.02980e+25    1.87230e+25    4.04179e+20    0.00000e+00
    3.65700e-02    6.32176e+24    9.15208e+24    1.01259e+25    1.85037e+25    4.66773e+20    0.00000e+00
    3.84700e-02    6.49008e+24    9.01104e+24    9.93472e+24    1.82069e+25    5.70934e+20    0.00000e+00
    4.04800e-02    6.56278e+24    8.89002e+24    9.72601e+24    1.79385e+25    6.16508e+20    0.00000e+00
    4.25900e-02    6.61104e+24    8.75646e+24    9.51977e+24    1.76240e+25    6.89223e+20    0.00000e+00
    4.48000e-02    6.66192e+24    8.60324e+24    9.30014e+24    1.72861e+25    8.52444e+20    0.00000e+00
    4.71400e-02    6.68448e+24    8.43292e+24    9.07441e+24    1.69297e+25    1.00446e+21    0.00000e+00
    4.95900e-02    6.68732e+24    8.25766e+24    8.84653e+24    1.65474e+25    1.14442e+21    0.00000e+00
    5.21700e-02    6.64822e+24    8.06305e+24    8.59391e+24    1.61442e+25    1.24656e+21    0.00000e+00
    5.48900e-02    6.52126e+24    7.89067e+24    8.35319e+24    1.57378e+25    1.46753e+21    0.00000e+00
    5.77500e-02    6.47784e+24    7.69357e+24    8.09210e+24    1.53196e+25    1.49053e+21    0.00000e+00
    6.07500e-02    6.43837e+24    7.48363e+24    7.83459e+24    1.48621e+25    1.49647e+21    0.00000e+00
    6.39200e-02    6.32391e+24    7.27256e+24    7.57865e+24    1.44077e+25    1.65072e+21    0.00000e+00
    6.72400e-02    6.25582e+24    7.05499e+24    7.29857e+24    1.39409e+25    1.79399e+21    0.00000e+00
    7.07500e-02    6.14934e+24    6.84003e+24    7.04020e+24    1.34890e+25    1.84838e+21    0.00000e+00
    7.44300e-02    6.05758e+24    6.62347e+24    6.77731e+24    1.30027e+25    1.94158e+21    0.00000e+00
    7.83000e-02    5.93876e+24    6.39553e+24    6.50421e+24    1.25302e+25    2.09913e+21    0.00000e+00
    8.23800e-02    5.82405e+24    6.16880e+24    6.24089e+24    1.20482e+25    2.33816e+21    0.00000e+00
    8.66700e-02    5.69732e+24    5.93470e+24    5.97634e+24    1.15672e+25    2.47305e+21    0.00000e+00
    9.11800e-02    5.57144e+24    5.70558e+24    5.70149e+24    1.10845e+25    2.65153e+21    0.00000e+00
    9.59300e-02    5.43569e+24    5.47798e+24    5.43981e+24    1.05955e+25    2.70977e+21    0.00000e+00
    1.00900e-01    5.29737e+24    5.24383e+24    5.17955e+24    1.01160e+25    2.81039e+21    0.00000e+00
    1.06200e-01    5.15975e+24    5.00956e+24    4.91884e+24    9.64375e+24    2.95129e+21    0.00000e+00
    1.11700e-01    5.00789e+24    4.78425e+24    4.67488e+24    9.16799e+24    3.07892e+21    0.00000e+00
    1.17500e-01    4.87246e+24    4.55877e+24    4.42055e+24    8.71481e+24    3.10021e+21    0.00000e+00
    1.23600e-01    4.71175e+24    4.33628e+24    4.18384e+24    8.26339e+24    3.43133e+21    0.00000e+00
    1.30100e-01    4.55711e+24    4.11442e+24    3.94151e+24    7.80813e+24    3.52133e+21    0.00000e+00
    1.36900e-01    4.40106e+24    3.89138e+24    3.71966e+24    7.37596e+24    3.46078e+21    0.00000e+00
    1.44000e-01    4.24005e+24    3.68873e+24    3.49455e+24    6.95443e+24    3.64604e+21    0.00000e+00
    1.51500e-01    4.07443e+24    3.47939e+24    3.27861e+24    6.53822e+24    3.89600e+21    0.00000e+00
    1.59400e-01    3.91417e+24    3.28270e+24    3.07124e+24    6.13784e+24    3.88856e+21    0.00000e+00
    1.67700e-01    3.75022e+24    3.08363e+24    2.86862e+24    5.74710e+24    3.95233e+21    0.00000e+00
    1.76400e-01    3.58437e+24    2.89740e+24    2.67302e+24    5.37057e+24    4.01195e+21    0.00000e+00
    1.85600e-01    3.42268e+24    2.70872e+24    2.48867e+24    5.01013e+24    4.14862e+21    0.00000e+00
    1.95200e-01    3.25991e+24    2.52936e+24    2.31325e+24    4.66463e+24    4.19570e+21    0.00000e+00
